Method,Basis_Set,ModChem_Class,Basis_Class,SF_low,SF_mid,SF_high
B2PLYP,6-311G,DH/TZ,Unpolarised,1.05123638,0.979140558,0.960584101
B2PLYP,6-311G*,DH/TZ,Polarised,0.996076009,0.963910788,0.954695836
B2PLYP,6-311+G,DH/TZ,Unpolarised,1.059236108,0.982124879,0.961401975
B2PLYP,6-311+G*,DH/TZ,Polarised,1.003859011,0.967686317,0.955007279
B2PLYP,6-31G,DH/DZ,Unpolarised,1.042969376,0.973871982,0.952954128
B2PLYP,6-31G*,DH/DZ,Polarised,0.988516764,0.956777797,0.948495155
B2PLYP,6-31+G,DH/DZ,Unpolarised,1.058792596,0.980586326,0.953874732
B2PLYP,6-31+G*,DH/DZ,Polarised,0.997678848,0.964816493,0.949576994
B2PLYP,aug-cc-pVDZ,DH/DZ,Polarised,1.007447588,0.98618153,0.952728288
B2PLYP,aug-cc-pVTZ,DH/TZ,Polarised,0.993463516,0.976371894,0.956518968
B2PLYP,aug-pc-1,DH/DZ,Polarised,1.005822347,0.977882094,0.952999546
B2PLYP,aug-pc-2,DH/TZ,Polarised,0.989257655,0.974526907,0.953732801
B2PLYP,aug-pcseg-1,DH/DZ,Polarised,1.007442916,0.97840195,0.953339299
B2PLYP,aug-pcseg-2,DH/TZ,Polarised,0.989449998,0.974717124,0.954025938
B2PLYP,cc-pVDZ,DH/DZ,Polarised,0.9970103,0.97948541,0.955601458
B2PLYP,cc-pVTZ,DH/TZ,Polarised,0.989945814,0.973483491,0.955895571
B2PLYP,def2-SVP,DH/DZ,Polarised,0.982399629,0.971201534,0.951462025
B2PLYP,def2-SVPD,DH/DZ,Polarised,0.996614961,0.980156362,0.952866703
B2PLYP,def2-TZVP,DH/TZ,Polarised,0.989836516,0.973861682,0.956387758
B2PLYP,def2-TZVPD,DH/TZ,Polarised,0.990706969,0.975862938,0.956966526
B2PLYP,def2-TZVPP,DH/TZ,Polarised,0.988625969,0.973827602,0.954954511
B2PLYP,def2-TZVPPD,DH/TZ,Polarised,0.990316609,0.975066889,0.955079541
B2PLYP,pc-1,DH/DZ,Polarised,0.994885842,0.971151381,0.948910173
B2PLYP,pc-2,DH/TZ,Polarised,0.987239209,0.973522339,0.952808723
B2PLYP,pcseg-1,DH/DZ,Polarised,0.996332615,0.971394427,0.949103312
B2PLYP,pcseg-2,DH/TZ,Polarised,0.987887049,0.974006383,0.953270152
B2PLYP,SNSD,DH/DZ,Polarised,1.000045479,0.976977804,0.954521862
B2PLYPD3,6-311G,DH/TZ,Unpolarised,1.049681789,0.977190695,0.960127019
B2PLYPD3,6-311G*,DH/TZ,Polarised,0.99565542,0.963649273,0.954533846
B2PLYPD3,6-311+G,DH/TZ,Unpolarised,1.058035398,0.982019263,0.96104256
B2PLYPD3,6-311+G*,DH/TZ,Polarised,1.002847592,0.967578691,0.954938896
B2PLYPD3,6-31G,DH/DZ,Unpolarised,1.042557998,0.973532225,0.952732541
B2PLYPD3,6-31G*,DH/DZ,Polarised,0.988169476,0.956600955,0.948418907
B2PLYPD3,6-31+G,DH/DZ,Unpolarised,1.057836039,0.980166497,0.953609561
B2PLYPD3,6-31+G*,DH/DZ,Polarised,0.997663904,0.96468212,0.949435745
B2PLYPD3,aug-cc-pVDZ,DH/DZ,Polarised,1.007180352,0.986417678,0.952590462
B2PLYPD3,aug-cc-pVTZ,DH/TZ,Polarised,0.992942608,0.976345117,0.956441051
B2PLYPD3,aug-pc-1,DH/DZ,Polarised,1.00354483,0.976283142,0.95229951
B2PLYPD3,aug-pc-2,DH/TZ,Polarised,0.989035703,0.974362156,0.953596776
B2PLYPD3,aug-pcseg-1,DH/DZ,Polarised,1.006885153,0.97808927,0.953225986
B2PLYPD3,aug-pcseg-2,DH/TZ,Polarised,0.988884077,0.974571832,0.95383088
B2PLYPD3,cc-pVDZ,DH/DZ,Polarised,0.996477251,0.979336602,0.955444396
B2PLYPD3,cc-pVTZ,DH/TZ,Polarised,0.989706408,0.97345233,0.955830071
B2PLYPD3,def2-SVP,DH/DZ,Polarised,0.977725341,0.969516822,0.948350719
B2PLYPD3,def2-SVPD,DH/DZ,Polarised,0.994386496,0.978479711,0.952163518
B2PLYPD3,def2-TZVP,DH/TZ,Polarised,0.987337227,0.972228909,0.955649539
B2PLYPD3,def2-TZVPD,DH/TZ,Polarised,0.990274473,0.975705212,0.956863762
B2PLYPD3,def2-TZVPP,DH/TZ,Polarised,0.98830074,0.973761183,0.954795483
B2PLYPD3,def2-TZVPPD,DH/TZ,Polarised,0.98958967,0.975008335,0.954963872
B2PLYPD3,pc-1,DH/DZ,Polarised,0.991044114,0.969401311,0.945795701
B2PLYPD3,pc-2,DH/TZ,Polarised,0.985016917,0.971791111,0.952153349
B2PLYPD3,pcseg-1,DH/DZ,Polarised,0.992051987,0.969717015,0.945752992
B2PLYPD3,pcseg-2,DH/TZ,Polarised,0.987665012,0.973636051,0.953185704
B2PLYPD3,SNSD,DH/DZ,Polarised,0.99993578,0.976837481,0.954369456
B3LYP,6-311G,Hybrid/TZ,Unpolarised,1.039886384,0.979904504,0.966951486
B3LYP,6-311G*,Hybrid/TZ,Polarised,0.996737816,0.967522601,0.963239053
B3LYP,6-311+G,Hybrid/TZ,Unpolarised,1.04412268,0.983650759,0.967180644
B3LYP,6-311+G*,Hybrid/TZ,Polarised,1.000197137,0.970761931,0.962995959
B3LYP,6-31G,Hybrid/DZ,Unpolarised,1.031063243,0.975031772,0.958162846
B3LYP,6-31G*,Hybrid/DZ,Polarised,0.991112553,0.961018924,0.957833297
